Rucsac: Solutie Random n-10 k-10000

Solutii:
V	G	Solutie
117	23	0010000011

166	38	0101011111

71	10	0100111000

125	27	0001001011

146	33	1110010110

143	31	1110001010

106	26	0101001010

175	38	1010011111

70	18	0001010010

199	38	0110111111

99	28	0011001010

89	24	0011000010

68	17	0001000010

146	25	0111100001

52	7	0010100000

152	28	1010000011

220	38	1101100111

162	24	1101110001

119	32	0101011110

171	39	1111001101

187	45	0111011111

72	18	0010010010

157	31	1010101110

154	25	1100100110

64	12	0010111000

145	35	1011011101

92	21	1101001000

131	27	1101000010

137	20	0000101011

175	33	1101110110

117	16	1000110010

49	14	0100001100

80	10	0000100010

118	19	0100101010

182	34	1110010011

77	18	0001000101

59	16	0110001000

129	25	0011100101

49	14	0100001100

213	36	1100111111

58	15	1000011100

147	29	0110010011

170	27	1101101001

162	35	1111011001

183	32	1110101101

112	17	1100010001

98	29	1011011100

136	26	1110101100

52	8	0001110000

241	45	1111100111

107	25	1000011110

117	29	0111000010

79	11	1000110100

115	23	0001000011

169	33	0001111111

28	5	0100000000

112	34	0011011110

138	31	0011010011

213	40	1011100111

108	26	0110001010

190	40	0011111111

164	28	1101110010

175	40	0111000111

33	12	0010011000

99	19	0111100000

104	14	1100101000

193	33	1001111011

166	34	1011100110

127	27	0010001011

150	28	0110111101

90	14	0000101010

169	31	0011110011

94	22	1101011000

86	18	1110010000

51	15	0100011100

73	14	1100001000

85	23	1011001000

144	28	1111101000

40	16	0001001100

21	7	0010000000

87	14	1000101100

125	26	1100010110

234	43	1110111111

143	34	0011111110

92	21	1101001000

81	25	0111010100

139	26	0110101010

216	44	0111101111

169	30	1100001011

67	18	1001010100

62	11	0010101000

112	17	1100010001

135	28	1110010010

99	17	1010111000

108	26	0110001010

97	16	1010101000

109	18	0001111001

150	30	0111110010

162	25	1100101101

135	30	1100011110

54	12	1001000000

143	20	1100100010

141	28	1101011001

204	36	1011110011

173	40	1111011101

166	37	0110001111

52	19	0011011000

204	36	1011110011

120	22	0010101101

91	17	0110100100

155	27	1010101101

111	18	0010111001

82	17	1101000000

196	34	1010110111

134	25	0100001011

87	20	0011000001

243	46	1111110111

109	27	0110000110

138	35	0111011101

84	19	1100001100

136	19	1010110001

61	6	0100110000

118	22	0001101101

167	34	0111101101

103	22	0110111100

90	21	0100010110

100	18	1010110100

175	38	1010011111

76	9	1000101000

168	35	1011110110

187	33	0110100111

64	12	0010111000

94	10	1100100000

33	1	0000110000

109	23	0111101000

123	15	1000101001

139	27	1101001001

136	23	0101100101

98	24	0100001110

157	39	0011001111

42	15	0011010000

167	26	0100111011

98	17	0000010011

150	28	0110111101

31	11	0010001000

173	28	1110100101

144	28	1111101000

185	37	1101111110

101	20	0111110000

131	23	0110110010

138	38	0111001110

130	28	0011101010

194	39	1111100110

79	22	0001000110

101	20	0111110000

191	38	1110000111

169	32	0010101111

117	16	0100100101

31	0	0000100000

180	34	1101010011

103	24	1111000000

193	35	1111111001

171	39	0111111110

166	38	0101011111

136	23	1001110010

162	21	1000100011

31	0	0000100000

114	29	1111000100

118	24	1011111000

99	14	0001110001

117	18	1110110000

117	31	0101001110

148	29	0111100010

129	34	0111011010

131	24	1101010001

143	28	0101000011

62	11	0010101000

180	34	1101010011

21	9	0000001100

117	26	0111010001

124	27	0010111110

108	12	0100110001

59	11	0000011001

162	24	1101110001

12	5	0000011000

60	15	0000000110

152	32	0110111110

107	23	1010010010

175	33	1101110110

156	34	0101010111

129	19	0110110001

139	29	0011101101

116	28	1001010110

181	28	1001100011

70	22	0101011100

175	32	1110100110

193	38	1111101010

72	18	0010010010

138	38	0111001110

62	11	0010101000

