100
	0	46	1
	1	4	1
	2	14	7
	3	11	10
	4	19	9
	5	34	7
	6	13	9
	7	31	10
	8	10	5
	9	12	8
	10	18	4
	11	42	8
	12	19	8
	13	14	0
	14	42	8
	15	14	3
	16	7	2
	17	33	6
	18	15	6
	19	26	0
	20	49	4
	21	18	10
	22	47	10
	23	43	1
	24	17	7
	25	12	9
	26	10	10
	27	5	3
	28	39	9
	29	22	3
	30	0	10
	31	33	5
	32	33	8
	33	50	6
	34	3	3
	35	19	5
	36	48	4
	37	0	5
	38	44	8
	39	1	10
	40	22	4
	41	8	8
	42	39	3
	43	38	1
	44	38	9
	45	16	2
	46	15	3
	47	24	4
	48	36	1
	49	18	0
	50	25	6
	51	9	2
	52	8	6
	53	0	2
	54	12	0
	55	47	7
	56	4	5
	57	38	2
	58	18	6
	59	50	6
	60	5	5
	61	36	4
	62	48	8
	63	7	3
	64	41	3
	65	22	7
	66	18	9
	67	24	0
	68	36	1
	69	40	6
	70	19	1
	71	39	10
	72	49	0
	73	30	0
	74	21	10
	75	24	1
	76	8	2
	77	15	1
	78	11	3
	79	36	8
	80	29	3
	81	4	5
	82	20	3
	83	27	4
	84	12	5
	85	6	0
	86	28	5
	87	35	5
	88	31	6
	89	11	6
	90	42	10
	91	4	6
	92	18	1
	93	28	2
	94	33	0
	95	39	10
	96	40	2
	97	25	4
	98	45	5
	99	17	8
