1000
	0	3	4
	1	20	5
	2	0	1
	3	29	1
	4	45	1
	5	36	2
	6	8	10
	7	33	5
	8	25	4
	9	18	6
	10	10	3
	11	22	10
	12	50	6
	13	28	8
	14	20	6
	15	21	10
	16	19	5
	17	15	9
	18	4	9
	19	10	0
	20	44	4
	21	26	1
	22	38	0
	23	3	6
	24	31	3
	25	26	10
	26	18	6
	27	50	8
	28	5	6
	29	23	5
	30	5	6
	31	48	10
	32	15	2
	33	24	9
	34	4	8
	35	2	1
	36	36	5
	37	16	6
	38	48	10
	39	12	8
	40	50	5
	41	16	3
	42	50	10
	43	23	10
	44	20	5
	45	25	8
	46	6	9
	47	7	6
	48	5	0
	49	2	7
	50	2	0
	51	3	9
	52	4	2
	53	17	10
	54	22	3
	55	44	7
	56	44	4
	57	20	4
	58	29	0
	59	21	4
	60	17	1
	61	7	1
	62	43	1
	63	35	6
	64	50	1
	65	21	6
	66	14	10
	67	25	10
	68	20	7
	69	31	6
	70	33	10
	71	3	5
	72	3	10
	73	23	10
	74	27	9
	75	9	1
	76	50	6
	77	39	1
	78	26	0
	79	8	3
	80	44	5
	81	3	3
	82	26	7
	83	14	5
	84	50	0
	85	12	3
	86	50	5
	87	46	4
	88	43	9
	89	2	5
	90	24	5
	91	14	6
	92	39	7
	93	43	5
	94	4	5
	95	42	4
	96	4	2
	97	18	1
	98	29	10
	99	19	8
	100	37	10
	101	2	0
	102	46	5
	103	30	10
	104	46	4
	105	38	7
	106	17	3
	107	21	7
	108	3	3
	109	19	9
	110	24	3
	111	50	6
	112	26	5
	113	49	7
	114	23	10
	115	16	8
	116	20	7
	117	17	6
	118	14	6
	119	36	10
	120	48	6
	121	8	4
	122	22	1
	123	20	10
	124	12	7
	125	4	9
	126	36	0
	127	32	8
	128	12	7
	129	34	8
	130	25	6
	131	29	9
	132	12	4
	133	50	5
	134	6	2
	135	36	7
	136	35	4
	137	43	2
	138	44	4
	139	19	6
	140	48	0
	141	34	9
	142	30	7
	143	36	10
	144	3	8
	145	47	8
	146	43	10
	147	15	3
	148	17	3
	149	13	9
	150	23	5
	151	43	6
	152	37	3
	153	36	10
	154	8	6
	155	38	5
	156	3	7
	157	4	8
	158	8	9
	159	48	0
	160	0	8
	161	13	1
	162	33	8
	163	16	10
	164	41	3
	165	3	3
	166	11	3
	167	49	1
	168	33	5
	169	39	2
	170	24	7
	171	10	5
	172	36	2
	173	31	1
	174	8	6
	175	3	9
	176	46	10
	177	34	2
	178	6	3
	179	26	7
	180	8	3
	181	27	5
	182	12	7
	183	34	1
	184	24	2
	185	16	7
	186	26	8
	187	26	7
	188	50	9
	189	7	6
	190	49	7
	191	2	2
	192	9	1
	193	44	6
	194	26	0
	195	19	8
	196	24	0
	197	0	2
	198	4	1
	199	44	1
	200	30	1
	201	21	2
	202	44	10
	203	26	3
	204	40	0
	205	11	9
	206	42	2
	207	22	5
	208	43	10
	209	35	4
	210	11	8
	211	30	7
	212	19	10
	213	8	5
	214	41	9
	215	38	0
	216	40	10
	217	31	7
	218	35	1
	219	11	0
	220	42	5
	221	10	6
	222	29	6
